LOAD DATA
INFILE *
APPEND
INTO TABLE macomb.mt_eh_entity_default_photo
FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '"'
(ENTITY_ID,PHOTO_ID,ACTION_TYPE,ACTION_TIME,ACTION_BY)
BEGINDATA
0IHVOBF1C0X85MIG,FDOIBX1NBPVQHNWP,I,1999011004:29:08-480,-900
0IHURZ9000X30MIG,VL70UU0LABD1W0JX,I,1999011004:51:18-480,-900
0IHUMT8000XD1MIG,EEREZMTLOL33NR30,I,1999011005:22:32-480,-900
0IHUWEV1C0XD3MIG,AUW655GEWW7K5N7N,I,1999011019:22:36-480,-900
0IHUWEU000XD3MIG,DPHNJ1OR7QUQ00BP,I,1999011019:35:04-480,-900
0IHUWEW1S0XD3MIG,S361E2LMZYG7POV4,I,1999011021:57:44-480,-900
0IHUIW9110X22MIG,USNBVZKFDAGV9DJ2,I,1999011100:37:58-480,-900
0IHUQSE0V0XD3MIG,G8DJDYE16ASMT0Z5,I,1999011102:53:40-480,-900
0IHUT721S0XD3MIG,NLP7T952D2FG84NV,I,1999011103:17:12-480,-900
0IHUWEY000XD3MIG,GHL8IW607ZTORY71,I,1999011103:20:06-480,-900
0IHV5ZK000X30MIG,Q8NM9DUGK0QKYLBM,I,1999011106:02:52-480,-900
0IHVNLKQL0X83MIG,DCT0AU7EJUU2WL8C,I,1999011106:04:44-480,-900
0IHUWF6000XD3MIG,UDQSNYTFW60Q3LOA,I,1999011116:08:40-480,-900
0IHVKLC7K0X84MIG,OCJDGH16JST9W1XB,I,1999011118:24:02-480,-900
0IHVBOW000X44MIG,ZMI73R67K7UMWU2W,I,1999011118:57:56-480,-900
0IHUR14000XD3MIG,FYAMS966W2568P25,I,1999011118:58:50-480,-900
0IHUWF8000XD3MIG,NA9YHE05NHP7JEOX,I,1999011119:10:44-480,-900
0IHV3DP000X31MIG,C14VMTYTF1AC9KS1,I,1999011120:13:24-480,-900
0IHUKKP2F0X23MIG,KQHDS8USHTTBWK19,I,1999011120:38:42-480,-900
0IHURJ81N0XD3MIG,AMUWXYOSU5K21TQL,I,1999011120:39:26-480,-900
0IHUJM60T0X22MIG,C4JK5CJX78F2OG0S,I,1999011121:47:38-480,-900
0IHVPVO340X83MIG,O7O1UX7QRL794HXB,I,1999011122:40:16-480,-900
0IHVH4G0A0X42MIG,IPWEIPLLZ8TARGTV,I,1999011202:38:30-480,-900
0IHV3PR2X0XD2MIG,I50EHU5YU2TOUMBH,I,1999011202:39:56-480,-900
0IHUWFA000XD3MIG,K7YJ224GNHSX8EOZ,I,1999011202:41:16-480,-900
0IHUWER1S0XD3MIG,EGXXOMXHJPRGM72X,I,1999011202:41:50-480,-900
0IHVMUI000X85MIG,AJLW8Q4RXWG7RTJJ,I,1999011202:48:04-480,-900
0IHUWFD0V0XD3MIG,I4Y0HOPJMOO889HL,I,1999011202:48:46-480,-900
0IHUIZQ1S0XD7MIG,RFOT0AG4DT8W16ZQ,I,1999011202:50:30-480,-900
0IHUWFC000XD3MIG,N9BI87DGNXVB9COF,I,1999011202:51:40-480,-900
0IHUYWC000X30MIG,VDROUSSHWYWGSSQC,I,1999011202:59:18-480,-900
0IHUS9I000XD3MIG,V4K76RH4NKLXZL0L,I,1999011203:00:36-480,-900
0IHUHK7000XD7MIG,JCY3R301SPL42V6U,I,1999011203:05:00-480,-900
0IHVG78000X51MIG,JRX7MTX4HFVMHA4U,I,1999011204:46:18-480,-900
0IHUSZX000XD3MIG,JTA967KP71LJ2RIR,I,1999011204:53:06-480,-900
0IHV5NGDG0XD1MIG,WHJJKOI3D4AMSL0B,I,1999011205:06:28-480,-900
0IHV3HW000XD2MIG,TR6QVSTV9BMHTHUJ,I,1999011205:10:28-480,-900
0IHUMIA0Y0XD1MIG,ZJ9U4S3LV2LA69X6,I,1999011205:15:38-480,-900
0IHUTR74B0XD3MIG,QMUZJ36HS1VUAKFI,I,1999011206:19:52-480,-900
0IHUOZX190XD2MIG,Z60CR98BK9LT9ZTX,I,1999011206:20:50-480,-900
0IHUWFE6M0XD3MIG,F6QIWRKIM1LFP8CC,I,1999011206:21:38-480,-900
0IHUMXS2U0XD7MIG,TR6QK01RQQ0KJA67,I,1999011206:22:26-480,-900
0IHUSLZ000X31MIG,GJ3DOKLJYMRV2TLE,I,1999011206:25:50-480,-900
0IHUW5WJ10XD7MIG,W1D6RV3NVFGPWIRH,I,1999011206:26:44-480,-900
0IHULA1NT0XD3MIG,IUSCNUFASLT6LBQJ,I,1999011206:28:08-480,-900
0IHUWFM000XD3MIG,GLSEGSHJNUWUIZ9X,I,1999011206:29:00-480,-900
0IHVM7F2D0X85MIG,LLZLWVJ1GROYBLFP,I,1999011206:31:50-480,-900
0IHUWFL000XD3MIG,J3YE6NVNBLH6R0MV,I,1999011206:32:46-480,-900
0IHUL9LRC0XD3MIG,C7ZGDIERGC1LI5PK,I,1999011206:47:16-480,-900
0IHUYS9000X30MIG,JMAXYBKKMNA08IVN,I,1999011206:50:50-480,-900
0IHVBII000X44MIG,AP6LQ0DXV7FB2Q2K,I,1999011206:54:06-480,-900
0IHUWFJ000XD3MIG,HY7YWH7S3VFIF8LW,I,1999011207:02:34-480,-900
0IHUWFK000XD3MIG,ZO7I8CU49SSB17O9,I,1999011207:15:28-480,-900
0IHUJPS190XD1MIG,NG3IFJV0STDTY9ND,I,1999011207:20:04-480,-900
0IHVP73000X83MIG,TVJQJLEAU2URHGJX,I,1999011217:03:10-480,-900
0IHVDG6000X51MIG,T81VHQV22KP7LC7X,I,1999011217:59:52-480,-900
0IHUMUS1S0XD7MIG,GW0N1AU0Z4XX21QC,I,1999011220:09:26-480,-900
0IHUN98000XD7MIG,MGX246D5VNUTC1MN,I,1999011220:10:22-480,-900
0IHUNMN000XD3MIG,E6RI88IPXI1T67H6,I,1999011220:11:26-480,-900
0IHV57T7B0XD1MIG,WFI3PIAA6DK73U9T,I,1999011220:35:26-480,-900
0IHUPSG000X30MIG,C2FLCFZLQ1IH4ALO,I,1999011220:38:50-480,-900
0IHVFGK000X44MIG,CJ0CXJ6Q0HNLOZDU,I,1999011221:06:20-480,-900
0IHUW9N000X30MIG,KQIJ3VFKTH20OM9D,I,1999011222:14:20-480,-900
0IHV0GS4R0XD1MIG,NGIZZUVXWYDXGYPB,I,1999011222:15:40-480,-900
0IHUWGA000XD3MIG,A86WG88V6YFQJGMX,I,1999011222:17:00-480,-900
0IHUO5F2G0XD1MIG,EUOIRU8FE8015QYY,I,1999011222:19:36-480,-900
0IHV1FL000XD2MIG,BF6P4RLL1XLZZUMO,I,1999011302:23:52-480,-900
0IHV3GD000X31MIG,SN7PMV2Y71YCYAV2,I,1999011302:28:42-480,-900
0IHUYFP0Z0XD2MIG,TSF4M0OUBICOK4CW,I,1999011302:40:04-480,-900
0IHUWGG090XD3MIG,N8JUEQ8P7T7COY1D,I,1999011302:40:40-480,-900
0IHUWGB310XD3MIG,LNCQONQIXOMJVA6L,I,1999011302:41:14-480,-900
0IHUWGI000XD3MIG,DWA2ZB2K24NHQCID,I,1999011302:55:30-480,-900
0IHVGHN060X51MIG,UV6KWYO1QCC19EBH,I,1999011302:55:58-480,-900
0IHUXSY000X31MIG,EKEXNHGV08ZPVACH,I,1999011302:56:36-480,-900
0IHUWGJ0X0XD3MIG,MZ948X9GTND03EBS,I,1999011302:58:00-480,-900
0IHUIT3000XD1MIG,WXLQPH5XU8LNF7KB,I,1999011304:33:26-480,-900
0IHUWGK1F0XD3MIG,VIFWJ9FH5M4W0L9E,I,1999011305:41:58-480,-900
